Overall rank;Country or region;Score;GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption
131;Myanmar;4360;710;1181;1;525;566;1
132;Chad;4350;350;766;1;174;198;1
133;Ukraine;4332;820;1390;1;178;187;1
134;Ethiopia;4286;336;1033;1;344;209;1
135;Swaziland;4212;811;1149;1;313;74;1
136;Uganda;4189;332;1069;1;356;252;1
137;Egypt;4166;913;1039;1;241;76;1
138;Zambia;4107;578;1058;1;431;247;1
139;Togo;4085;275;572;1;293;177;1
140;India;4015;755;765;1;498;200;1
141;Liberia;3975;73;922;1;370;233;1
142;Comoros;3973;274;757;1;142;275;1
143;Madagascar;3933;274;916;1;148;169;1
144;Lesotho;3802;489;1169;1;359;107;1
145;Burundi;3775;46;447;1;220;176;1
146;Zimbabwe;3663;366;1114;1;361;151;1
147;Haiti;3597;323;688;1;26;419;1
148;Botswana;3488;1041;1145;1;455;25;1
149;Syria;3462;619;378;1;13;331;1
150;Malawi;3410;191;560;1;443;218;1
151;Yemen;3380;287;1163;1;143;108;1
152;Rwanda;3334;359;711;1;555;217;1
153;Tanzania;3231;476;885;1;417;276;1
154;Afghanistan;3203;350;517;1;0;158;1
155;Central African Republic;3083;26;0;1;225;235;1
156;South Sudan;2853;306;575;1;10;202;1
